ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,y_shape,y_breakout,y_reachtarget,p1_trading_date,p2_trading_date,low1_trading_date,low2_trading_date,p1_idx,p2_idx,low1_idx,low2_idx,p1p2_trading_days,neckline_slope_per_day,drop1_norm,rise1_norm,drop2_norm,trough_sim,spread_t,p1_to_l1_t,l1_to_p2_t,p2_to_l2_t,rsi_p2,rsi_l2,vol_ratio_p2,vol_ratio_l2,px_vs_ma20_p2,px_vs_ma20_l2,px_vs_ma50_l2,atr_pct_l2,dist_to_neckline_l2,mom10_to_l2,mp_min_dist
TSLA,2023-02-28,210.59,2023-03-13,167.46,2025-03-31,207.46,2025-04-27,152.64,1,1,1,2023-02-28,2025-03-31,2023-03-13,2025-04-28,150,673,159,692,523,-0.00598470363288718,-0.2825602725366876,0.2620545073375262,-0.3591457023060798,0.08849874596918679,5.9222222222222225,0.1,5.711111111111111,0.2111111111111111,43.914349094537314,58.37400850729763,1.0294890220930188,1.0632449826686046,0.018846865282150738,0.12438743565172095,0.06198820951248818,0.07599342099123049,-0.23887276847969732,0.13305064265803734,2.0872801677639092
TSM,2024-10-18,205.95,2024-10-31,190.54,2024-11-08,203.89,2024-11-27,181.19,0,0,0,2024-10-18,2024-11-08,2024-10-31,2024-11-27,153,168,162,181,15,-0.13733333333333347,-0.08504884375517419,0.07367956288978417,-0.12528285225453928,0.04907106119449982,0.2111111111111111,0.1,0.06666666666666667,0.14444444444444443,59.393201255115976,39.84277389338913,0.7709415121968285,0.7898574613480547,0.024278257170687434,-0.04895877146926264,-0.04063242608066642,0.029219510642614386,0.14732170135272385,-0.02930466368225071,3.027621335531245
TT,2024-06-18,345.38,2024-07-01,321.36,2024-07-16,346.32,2025-07-25,322.22,0,0,0,2024-06-18,2024-07-16,2024-07-01,2025-07-25,149,167,157,424,18,0.052222222222222094,-0.07474483445357216,0.07766990291262132,-0.07499377645008698,0.0026761264625342718,2.966666666666667,0.08888888888888889,0.1111111111111111,2.8555555555555556,62.486679467518336,75.7417878931818,0.9378101455150337,0.98663298078749,0.03228895144842525,0.06871717007152633,0.09125837345887167,0.0193963277209757,-0.22213994552542224,0.07901718628503396,2.2288838441856678
V,2025-06-13,361.51,2025-06-23,337.5,2025-07-07,358.92,2025-07-15,347.02,1,0,0,2025-06-13,2025-07-07,2025-06-23,2025-07-15,150,164,155,170,14,-0.18499999999999822,-0.07114074074074073,0.06346666666666678,-0.035259259259259323,0.028207407407407355,0.16666666666666666,0.05555555555555555,0.1,0.06666666666666667,51.87180467029398,43.35160294916627,0.6691419797382038,0.6382294439874303,0.0027935450124287886,-0.011540387612206437,-0.027033568797231733,0.017010134361297367,0.03368201518726532,-0.02261654475611563,2.8318585411256714
VC,2025-02-20,90.68,2025-03-04,81.61,2025-03-07,87.68,2025-03-20,79.95,1,0,0,2025-02-20,2025-03-07,2025-03-04,2025-03-20,151,162,159,171,11,-0.2727272727272727,-0.11344590368980634,0.07592245153220767,-0.09668542839274541,0.020340644528856717,0.13333333333333333,0.08888888888888889,0.03333333333333333,0.1,54.83904219359025,43.54409936656937,0.9107204891266588,1.1401272957660322,0.02496961099933781,-0.03293490102708119,-0.029183644294304645,0.036793891437898164,0.07513628156020181,-0.06078987176883377,3.1775802547779453
W,2024-07-16,57.23,2024-08-12,38.21,2024-10-9,57.12,2024-11-12,37.59,1,0,0,2024-07-16,2024-10-09,2024-08-12,2024-11-12,148,208,167,232,60,-0.0018333333333333238,-0.5059856344772544,0.5030593242883743,-0.519553072625698,0.01622611881706353,0.7222222222222222,0.2111111111111111,0.45555555555555555,0.26666666666666666,57.4269067286149,34.92091134651632,0.7412898276271899,1.2834422032528783,0.031173697186703597,-0.1155917777402582,-0.19001637427188434,0.0669262364759035,0.5218237134919853,-0.0882216246810208,2.7900369589987077
WBD,2024-07-31,8.8,2024-08-13,6.67,2024-08-26,8.23,2024-09-11,6.94,1,1,0,2024-07-31,2024-08-26,2024-08-13,2024-09-11,149,167,158,178,18,-0.03166666666666668,-0.31934032983508254,0.23388305847076474,-0.1934032983508247,0.0404797601199401,0.2222222222222222,0.1,0.1,0.12222222222222222,58.78547353309426,38.287841203058974,0.9542425431160928,0.9510437328217723,0.07210311425134486,-0.07896481911568354,-0.09921602782453365,0.05125565563170151,0.16248767297449065,-0.14426629457295792,3.53365443987278
Z,2023-12-27,59.47,2024-01-17,51.44,2024-01-30,58.54,2024-02-13,53.0,1,0,0,2023-12-27,2024-01-30,2024-01-17,2024-02-13,151,173,164,183,22,-0.04227272727272726,-0.15610419906687412,0.13802488335925345,-0.10769828926905123,0.030326594090202223,0.2111111111111111,0.14444444444444443,0.1,0.1111111111111111,61.79816175597795,44.773611849164055,0.7215858883942713,1.5159435279355333,0.04713475915038634,-0.03346456529245745,-0.006142414821886599,0.037132788996259374,0.10489114853997765,-0.06214098602984175,2.0621973238226556
ZD,2025-05-12,34.7,2025-05-23,30.0,2025-06-11,34.46,2025-07-01,30.0,1,0,0,2025-05-12,2025-06-11,2025-05-23,2025-07-01,149,170,158,183,21,-0.011428571428571524,-0.15666666666666673,0.14866666666666672,-0.14866666666666672,0.0,0.2777777777777778,0.1,0.13333333333333333,0.14444444444444443,56.608092913083276,49.553931535478895,0.9616858237547893,1.7619649000566129,0.04190401350575956,-0.007304760049197223,-0.0006285594889834378,0.04723719515688354,0.14562362929506198,0.012738841509227994,4.024031845603859
ZS,2025-02-18,216.87,2025-03-04,187.15,2025-03-25,215.73,2025-04-07,166.88,1,1,1,2025-02-18,2025-03-25,2025-03-04,2025-04-07,149,174,159,183,25,-0.04560000000000059,-0.17809204218600194,0.17126078619367213,-0.29272531160115056,0.10830884317392471,0.26666666666666666,0.1111111111111111,0.16666666666666666,0.1,62.29579860667585,37.727427360675236,0.9768837425516629,2.3436842685661308,0.07977565249917817,-0.10167551625446059,-0.10744518497206834,0.05642522786883793,0.3067095618103194,-0.14206414987887195,2.7830668385509347
