ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,ml_shape_proba,ml_breakout_proba,ml_reachtarget_proba
META,2025-05-16,639.9476160073406,2025-05-21,629.6854943191497,2025-07-11,725.1599731445312,2025-07-21,705.760009765625,0.19359278727741924,0.9950875190386294,0.8333333333333334
JPM,2025-08-01,291.79998779296875,2025-08-05,287.239990234375,2025-09-02,300.4599914550781,2025-09-05,294.30999755859375,0.2722916846069143,0.7294538517458609,0.8298750480722642
JPM,2025-08-13,294.54998779296875,2025-08-15,289.82000732421875,2025-09-02,300.4599914550781,2025-09-05,294.30999755859375,0.2702375064114726,0.7159163788294481,0.8025477796836471
