ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,y_shape,y_breakout,y_reachtarget,p1_trading_date,p2_trading_date,p1_idx,p2_idx,p1p2_trading_days,neckline_slope_per_day,neckline_slope_pct_per_day
NVDA,2024-07-11,135.75,2024-08-07,98.91,2024-08-22,130.02,2024-09-06,102.83,1,1,1,2024-07-11,2024-08-22,10,40,30,-0.19099999999999967,-0.0014069981583793726
ORCL,2025-04-02,145.86,2025-04-07,118.86,2025-04-09,139.69,2025-04-21,122.82,1,1,1,2025-04-02,2025-04-09,11,16,5,-1.234000000000003,-0.008460167283696718
PLTR,2025-02-21,107.68,2025-03-11,75.79,2025-03-25,97.22,2025-04-07,66.65,1,1,1,2025-02-21,2025-03-25,10,32,22,-0.4754545454545458,-0.00441543968661354
PTON,2024-02-12,4.81,2024-02-23,4.26,2024-02-29,4.74,2024-03-05,4.26,0,0,0,2024-02-12,2024-02-29,10,22,12,-0.005833333333333283,-0.001212751212751199
RBLX,2025-03-03,64.4,2025-03-11,53.46,2025-03-25,62.01,2025-04-07,50.51,1,1,1,2025-03-03,2025-03-25,9,25,16,-0.14937500000000048,-0.0023194875776397575
RDDT,2025-03-25,125.43,2025-04-07,81.01,2025-05-01,125.64,2025-05-23,95.83,1,1,1,2025-03-25,2025-05-01,11,37,26,0.008076923076922836,6.439386970359993e-05
RKLB,2025-05-28,29.91,2025-06-02,26.5,2025-06-09,30.0,2025-06-13,25.41,1,1,1,2025-05-28,2025-06-09,10,18,8,0.011249999999999982,0.0003761283851554664
SNOW,2023-09-11,170.17,2023-09-28,145.52,2023-10-11,163.92,2023-10-26,140.84,1,1,1,2023-09-11,2023-10-11,9,31,22,-0.2840909090909091,-0.0016694535411112947
SPOT,2025-02-13,648.32,2025-03-10,489.24,2025-03-25,615.88,2025-04-07,477.51,1,1,1,2025-02-13,2025-03-25,11,38,27,-1.2014814814814836,-0.0018532229168951792
TJX,2024-12-11,127.31,2025-01-15,119.11,2025-02-14,126.55,2025-03-13,112.81,1,1,1,2024-12-11,2025-02-14,10,53,43,-0.01767441860465128,-0.00013882977460255574
TSLA,2023-02-28,210.59,2023-03-13,167.46,2025-03-31,207.46,2025-04-27,152.64,1,1,1,2023-02-28,2025-03-31,10,533,523,-0.00598470363288718,-2.8418745585674347e-05
TSM,2024-10-18,205.95,2024-10-31,190.54,2024-11-08,203.89,2024-11-27,181.19,0,0,0,2024-10-18,2024-11-08,11,26,15,-0.13733333333333347,-0.0006668285182487669
TT,2024-06-18,345.38,2024-07-01,321.36,2024-07-16,346.32,2025-07-25,322.22,0,0,0,2024-06-18,2024-07-16,11,29,18,0.052222222222222094,0.0001512022184904217
V,2025-06-13,361.51,2025-06-23,337.5,2025-07-07,358.92,2025-07-15,347.02,1,0,0,2025-06-13,2025-07-07,11,25,14,-0.18499999999999822,-0.0005117424137644806
VC,2025-02-20,90.68,2025-03-04,81.61,2025-03-07,87.68,2025-03-20,79.95,1,0,0,2025-02-20,2025-03-07,10,21,11,-0.2727272727272727,-0.0030075790993303094
W,2024-07-16,57.23,2024-08-12,38.21,2024-10-9,57.12,2024-11-12,37.59,1,0,0,2024-07-16,2024-10-09,10,70,60,-0.0018333333333333238,-3.203448075018896e-05
WBD,2024-07-31,8.8,2024-08-13,6.67,2024-08-26,8.23,2024-09-11,6.94,1,1,0,2024-07-31,2024-08-26,11,29,18,-0.03166666666666668,-0.003598484848484851
Z,2023-12-27,59.47,2024-01-17,51.44,2024-01-30,58.54,2024-02-13,53.0,1,0,0,2023-12-27,2024-01-30,10,32,22,-0.04227272727272726,-0.0007108244034425307
ZD,2025-05-12,34.7,2025-05-23,30.0,2025-06-11,34.46,2025-07-01,30.0,1,0,0,2025-05-12,2025-06-11,10,31,21,-0.011428571428571524,-0.0003293536434746814
ZS,2025-02-18,216.87,2025-03-04,187.15,2025-03-25,215.73,2025-04-07,166.88,1,1,1,2025-02-18,2025-03-25,10,35,25,-0.04560000000000059,-0.00021026421358417925
