ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,drop1_pct,recovery_pct,drop2_pct,trough_similarity,pattern_days,ml_shape_proba,ml_breakout_proba,ml_reachtarget_proba
AAPL,2025-05-14,213.69746987061376,2025-05-23,193.24069928507132,2025-05-29,203.57895243464628,2025-08-01,201.27158167093614,0.0957277154377555,0.053499356956496186,0.011334033976085326,0.041558959450967214,54,0.5,1.0,0.8113519754882578
HD,2025-05-20,385.1577339582591,2025-05-23,356.89472353348077,2025-06-04,370.9471835797113,2025-06-18,343.84922402539564,0.07338035286042388,0.03937424433486263,0.0730507219189944,0.03793959269520303,20,0.27477556838344236,1.0,0.6161381855058171
HD,2025-05-20,385.1577339582591,2025-05-23,356.89472353348077,2025-05-28,366.7768852937825,2025-06-18,343.84922402539564,0.07338035286042388,0.027689290731065394,0.06251119464636434,0.03793959269520303,20,0.27883244355381354,1.0,0.6161381855058171
PG,2025-05-30,169.82860334297487,2025-06-18,156.5891456350284,2025-06-24,160.64144468432002,2025-07-31,149.91000366210938,0.07795776122122922,0.025878543706577002,0.06680368844602483,0.044554344671843965,42,0.38888888888888884,1.0,0.7723914257635661
V,2025-05-19,368.50158857718844,2025-05-23,351.6013176505488,2025-07-07,359.02826475791727,2025-08-07,328.1226536943301,0.045862138591838374,0.02112320612731599,0.0860812757581244,0.07155453514675884,55,0.38888888888888884,1.0,0.8196660829640917
TSLA,2025-05-20,354.989990234375,2025-05-22,331.3900146484375,2025-06-23,357.5400085449219,2025-07-07,288.7699890136719,0.06648067899141633,0.07891002365966332,0.1923421655974191,0.14759160320066284,31,0.38888888888888884,1.0,0.8333333333333334
PG,2025-05-30,169.82860334297487,2025-06-18,156.5891456350284,2025-06-24,160.64144468432002,2025-07-15,150.86825872331622,0.07795776122122922,0.025878543706577002,0.0608385088929529,0.03791975171002637,30,0.31270296199948705,0.9993718671262242,0.7675266620718134
PG,2025-05-30,169.82860334297487,2025-06-18,156.5891456350284,2025-07-01,161.42606933047804,2025-07-15,150.86825872331622,0.07795776122122922,0.030889265509650078,0.06540338032729673,0.03791975171002637,30,0.35573280680485925,0.9978669351759968,0.7675266620718134
CRM,2025-05-14,295.5812844273354,2025-05-29,254.0970568580227,2025-06-06,274.46477564838517,2025-07-02,265.6499938964844,0.14034795081726836,0.08015724008067897,0.03211625874787426,0.04546663066985814,33,0.2224840381881897,0.9920139351455548,0.7864472866809266
CRM,2025-05-14,295.5812844273354,2025-05-29,254.0970568580227,2025-06-17,270.0717300107315,2025-07-02,265.6499938964844,0.14034795081726836,0.06286839111888927,0.01637245080805552,0.04546663066985814,33,0.3215820801320836,0.9919607319047709,0.7864472866809266
TSLA,2025-05-20,354.989990234375,2025-05-22,331.3900146484375,2025-06-23,357.5400085449219,2025-07-24,300.4100036621094,0.06648067899141633,0.07891002365966332,0.15978632745273483,0.10312576348547085,44,0.42050883002015765,0.974180828413818,0.8333333333333334
ABBV,2025-05-12,191.0399730910648,2025-05-15,175.05802418239674,2025-05-20,184.407266765888,2025-06-23,180.73894254141436,0.08365761704253281,0.05340653550248058,0.019892514480629044,0.03245163074100821,28,0.23611111111111108,0.9313403793568876,0.621100153534548
V,2025-05-19,368.50158857718844,2025-05-23,351.6013176505488,2025-06-11,374.850444868596,2025-08-07,328.1226536943301,0.045862138591838374,0.06612354974492486,0.1246571581118074,0.07155453514675884,55,0.2916666666666667,0.8558307711875436,0.8196660829640917
MA,2025-05-19,587.6548973034893,2025-05-23,561.7499199649715,2025-06-11,593.9064398258108,2025-06-20,526.617484037199,0.044081956021102334,0.057243479203066924,0.11329891591737457,0.06671338683713507,22,0.2916666666666667,0.8410680666130065,0.8210744018002719
NVDA,2025-05-21,137.3827028648009,2025-05-23,129.14376150329426,2025-05-29,143.47196297724966,2025-06-23,142.02198656661903,0.059970732775687464,0.11094768579735005,0.010106339807036365,0.09972007097684137,21,0.14348220087150015,0.6028154675662408,0.835384397563366
NVDA,2025-05-21,137.3827028648009,2025-05-23,129.14376150329426,2025-05-29,143.47196297724966,2025-06-13,140.84205843661482,0.059970732775687464,0.11094768579735005,0.018330442311240026,0.09058352333203612,16,0.14354149552100867,0.59553456020366,0.8351149311643541
TSLA,2025-05-20,354.989990234375,2025-05-22,331.3900146484375,2025-05-29,367.7099914550781,2025-07-07,288.7699890136719,0.06648067899141633,0.10959888711544759,0.21468005840426035,0.14759160320066284,31,0.2827177454548429,0.716005664361869,0.8333333333333334
TSLA,2025-05-20,354.989990234375,2025-05-22,331.3900146484375,2025-05-29,367.7099914550781,2025-07-24,300.4100036621094,0.06648067899141633,0.10959888711544759,0.18302463723287365,0.10312576348547085,44,0.2916666666666667,0.6666666666666666,0.8333333333333334
JPM,2025-05-15,268.22775480853,2025-05-23,254.7726124890187,2025-07-03,296.3999938964844,2025-07-16,283.010009765625,0.05016312472628351,0.1633903306983591,0.04517538598713917,0.11083372345535525,41,0.1545607449767177,0.6310116357170817,0.8333333333333334
JPM,2025-05-15,268.22775480853,2025-05-23,254.7726124890187,2025-07-03,296.3999938964844,2025-07-08,280.30999755859375,0.05016312472628351,0.1633903306983591,0.05428473909992705,0.10023599012502082,35,0.22853513946863227,0.6218331809185685,0.8333333333333334
META,2025-05-14,662.1604799651236,2025-05-16,625.6686244756826,2025-06-11,708.3249785260691,2025-07-30,691.2000122070312,0.05511028911203381,0.13210883655809574,0.024176708203447327,0.10473817156208644,52,0.23611111111111108,0.6499961705965815,0.8333333333333334
