iter	Passed	Remaining
0	0	63
1	0	61
2	0	60
3	0	60
4	0	61
5	0	60
6	1	60
7	1	59
8	1	58
9	1	58
10	1	58
11	1	58
12	1	58
13	2	61
14	2	61
15	2	60
16	2	60
17	2	59
18	2	59
19	3	58
20	3	58
21	3	57
22	3	57
23	3	57
24	3	56
25	3	56
26	4	57
27	4	58
28	4	58
29	4	57
30	4	57
31	4	57
32	5	56
33	5	56
34	5	56
35	5	56
36	5	56
37	5	56
38	6	56
39	6	56
40	6	55
41	6	55
42	6	55
43	6	55
44	6	54
45	7	54
46	7	54
47	7	54
48	7	53
49	7	53
50	7	53
51	7	53
52	8	53
53	8	52
54	8	52
55	8	52
56	8	52
57	8	52
58	9	52
59	9	52
60	9	51
61	9	51
62	9	51
63	9	51
64	9	51
65	10	51
66	10	50
67	10	50
68	10	50
69	10	50
70	10	50
71	10	49
72	11	49
73	11	49
74	11	49
75	11	49
76	11	48
77	11	48
78	11	48
79	12	48
80	12	48
81	12	48
82	12	48
83	12	48
84	12	47
85	13	47
86	13	47
87	13	47
88	13	47
89	13	46
90	13	46
91	13	46
92	14	46
93	14	46
94	14	46
95	14	45
96	14	45
97	14	45
98	14	45
99	15	45
100	15	44
101	15	44
102	15	44
103	15	44
104	15	44
105	15	43
106	15	43
107	16	43
108	16	43
109	16	43
110	16	43
111	16	43
112	16	42
113	17	42
114	17	42
115	17	42
116	17	42
117	17	42
118	17	42
119	18	42
120	18	42
121	18	41
122	18	41
123	18	41
124	18	41
125	18	41
126	19	41
127	19	40
128	19	40
129	19	40
130	19	40
131	19	40
132	19	40
133	20	39
134	20	39
135	20	39
136	20	39
137	20	39
138	20	39
139	21	39
140	21	38
141	21	38
142	21	38
143	21	38
144	21	38
145	21	38
146	22	37
147	22	37
148	22	37
149	22	37
150	22	37
151	22	37
152	22	36
153	23	36
154	23	36
155	23	36
156	23	36
157	23	36
158	23	35
159	23	35
160	23	35
161	24	35
162	24	35
163	24	35
164	24	35
165	24	35
166	25	35
167	25	34
168	25	34
169	25	34
170	25	34
171	25	34
172	26	34
173	26	34
174	26	33
175	26	33
176	26	33
177	26	33
178	26	33
179	27	33
180	27	32
181	27	32
182	27	32
183	27	32
184	27	32
185	28	32
186	28	32
187	28	31
188	28	31
189	28	31
190	28	31
191	28	31
192	29	31
193	29	30
194	29	30
195	29	30
196	29	30
197	29	30
198	29	30
199	29	29
200	30	29
201	30	29
202	30	29
203	30	29
204	30	29
205	30	29
206	30	28
207	31	28
208	31	28
209	31	28
210	31	28
211	31	28
212	31	27
213	31	27
214	32	27
215	32	27
216	32	27
217	32	27
218	32	27
219	32	26
220	33	26
221	33	26
222	33	26
223	33	26
224	33	26
225	33	26
226	34	25
227	34	25
228	34	25
229	34	25
230	34	25
231	34	25
232	34	24
233	35	24
234	35	24
235	35	24
236	35	24
237	35	24
238	35	24
239	35	23
240	36	23
241	36	23
242	36	23
243	36	23
244	36	23
245	36	23
246	36	22
247	37	22
248	37	22
249	37	22
250	37	22
251	37	22
252	37	21
253	37	21
254	38	21
255	38	21
256	38	21
257	38	21
258	38	21
259	38	20
260	38	20
261	39	20
262	39	20
263	39	20
264	39	20
265	39	19
266	39	19
267	39	19
268	40	19
269	40	19
270	40	19
271	41	19
272	41	19
273	41	19
274	41	18
275	41	18
276	41	18
277	42	18
278	42	18
279	42	18
280	42	17
281	42	17
282	42	17
283	42	17
284	43	17
285	43	17
286	43	17
287	43	16
288	43	16
289	43	16
290	44	16
291	44	16
292	44	16
293	44	16
294	44	15
295	44	15
296	44	15
297	45	15
298	45	15
299	45	15
300	45	14
301	45	14
302	45	14
303	45	14
304	45	14
305	46	14
306	46	14
307	46	13
308	46	13
309	46	13
310	46	13
311	47	13
312	47	13
313	47	12
314	47	12
315	47	12
316	47	12
317	47	12
318	48	12
319	48	12
320	48	11
321	48	11
322	48	11
323	48	11
324	48	11
325	49	11
326	49	11
327	49	10
328	49	10
329	49	10
330	50	10
331	50	10
332	50	10
333	50	9
334	50	9
335	50	9
336	50	9
337	51	9
338	51	9
339	51	9
340	51	8
341	51	8
342	51	8
343	51	8
344	51	8
345	52	8
346	52	7
347	52	7
348	52	7
349	52	7
350	52	7
351	52	7
352	53	7
353	53	6
354	53	6
355	53	6
356	53	6
357	53	6
358	53	6
359	54	6
360	54	5
361	54	5
362	54	5
363	54	5
364	54	5
365	54	5
366	55	4
367	55	4
368	55	4
369	55	4
370	55	4
371	55	4
372	55	4
373	56	3
374	56	3
375	57	3
376	57	3
377	57	3
378	57	3
379	57	3
380	57	2
381	57	2
382	58	2
383	58	2
384	58	2
385	58	2
386	58	1
387	58	1
388	58	1
389	59	1
390	59	1
391	59	1
392	59	1
393	59	0
394	59	0
395	60	0
396	60	0
397	60	0
398	60	0
399	60	0
